instant,dteday,season,yr,mnth,hr,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt
7142,2012-12-22,1,1,12,0,0,6,0,1,0.26,0.2121,0.44,0.5821,1,30,31
17143,2012-12-22,1,1,12,1,0,6,0,1,0.26,0.2121,0.44,0.4478,1,34,35
17144,2012-12-22,1,1,12,2,0,6,0,1,0.26,0.2121,0.44,0.5224,0,23,23
17145,2012-12-22,1,1,12,3,0,6,0,1,0.26,0.2121,0.48,0.4478,0,7,7
17146,2012-12-22,1,1,12,4,0,6,0,1,0.26,0.2576,0.48,0.194,3,2,5
17147,2012-12-22,1,1,12,5,0,6,0,1,0.26,0.2273,0.48,0.4179,0,5,5
17148,2012-12-22,1,1,12,6,0,6,0,1,0.26,0.2273,0.44,0.4179,0,13,13
17149,2012-12-22,1,1,12,7,0,6,0,1,0.26,0.2273,0.44,0.4179,2,18,20
17150,2012-12-22,1,1,12,8,0,6,0,1,0.26,0.2121,0.44,0.6119,0,29,29
17151,2012-12-22,1,1,12,9,0,6,0,1,0.26,0.2273,0.48,0.3881,13,77,90
17152,2012-12-22,1,1,12,10,0,6,0,1,0.26,0.2273,0.48,0.3284,13,105,118
17153,2012-12-22,1,1,12,11,0,6,0,1,0.28,0.2576,0.41,0.3582,29,130,159
17154,2012-12-22,1,1,12,12,0,6,0,1,0.3,0.2576,0.36,0.6567,18,128,146
17155,2012-12-22,1,1,12,13,0,6,0,1,0.32,0.2879,0.36,0.4478,23,135,158
17156,2012-12-22,1,1,12,14,0,6,0,1,0.32,0.2879,0.36,0.4627,20,141,161
17157,2012-12-22,1,1,12,15,0,6,0,1,0.32,0.2727,0.33,0.5821,14,139,153
17158,2012-12-22,1,1,12,16,0,6,0,1,0.3,0.2727,0.39,0.4478,23,124,147
17159,2012-12-22,1,1,12,17,0,6,0,1,0.28,0.2576,0.41,0.2985,15,99,114
17160,2012-12-22,1,1,12,18,0,6,0,1,0.26,0.2121,0.44,0.4627,7,75,82
17161,2012-12-22,1,1,12,19,0,6,0,1,0.24,0.2121,0.48,0.3582,9,51,60
17162,2012-12-22,1,1,12,20,0,6,0,1,0.24,0.2424,0.48,0.1642,6,55,61
17163,2012-12-22,1,1,12,21,0,6,0,1,0.22,0.2121,0.51,0.2836,4,49,53
17164,2012-12-22,1,1,12,22,0,6,0,1,0.22,0.2121,0.51,0.2836,1,38,39
17165,2012-12-22,1,1,12,23,0,6,0,1,0.22,0.2273,0.51,0.194,3,37,40
